Thrill Seeker,Smashbox,Lipstick,231,68,37,$24.00,http://www.smashbox.com/product/6126/42295/Lips/Lipstick/ALWAYS-ON-LIQUID-LIPSTICK/New/index.tmpl,http://www.smashbox.com/media/images/products/340x527/SB_C2NP_SKUC2NP16_340.jpg
Some Nerve,Smashbox,Lipstick,168,86,162,$24.00,http://www.smashbox.com/product/6126/42295/Lips/Lipstick/ALWAYS-ON-LIQUID-LIPSTICK/New/index.tmpl,http://www.smashbox.com/media/images/products/340x527/SB_C2NP_SKUC2NP02_340.jpg
Shockaholic,Smashbox,Lipstick,189,36,103,$24.00,http://www.smashbox.com/product/6126/42295/Lips/Lipstick/ALWAYS-ON-LIQUID-LIPSTICK/New/index.tmpl,http://www.smashbox.com/media/images/products/340x527/SB_C2NP_SKUC2NP08_340.jpg
Blast Off,Smashbox,Lipstick,203,38,72,$24.00,http://www.smashbox.com/product/6126/42295/Lips/Lipstick/ALWAYS-ON-LIQUID-LIPSTICK/New/index.tmpl,http://www.smashbox.com/media/images/products/340x527/SB_C2NP_SKUC2NP17_340.jpg
Bang-Bang,Smashbox,Lipstick,204,33,39,$24.00,http://www.smashbox.com/product/6126/42295/Lips/Lipstick/ALWAYS-ON-LIQUID-LIPSTICK/New/index.tmpl,http://www.smashbox.com/media/images/products/340x527/SB_C2NP_SKUC2NP18_340.jpg
Bawse,Smashbox,Lipstick,168,32,36,$24.00,http://www.smashbox.com/product/6126/42295/Lips/Lipstick/ALWAYS-ON-LIQUID-LIPSTICK/New/index.tmpl,http://www.smashbox.com/media/images/products/340x527/SB_C2NP_SKUC2NP19_340.jpg
Out Loud,Smashbox,Lipstick,160,67,34,$24.00,http://www.smashbox.com/product/6126/42295/Lips/Lipstick/ALWAYS-ON-LIQUID-LIPSTICK/New/index.tmpl,http://www.smashbox.com/media/images/products/340x527/SB_C2NP_SKUC2NP03_340.jpg
Let's Dance,Smashbox,Lipstick,146,52,89,$24.00,http://www.smashbox.com/product/6126/42295/Lips/Lipstick/ALWAYS-ON-LIQUID-LIPSTICK/New/index.tmpl,http://www.smashbox.com/media/images/products/340x527/SB_C2NP_SKUC2NP07_340.jpg
Girl Gang,Smashbox,Lipstick,110,18,67,$24.00,http://www.smashbox.com/product/6126/42295/Lips/Lipstick/ALWAYS-ON-LIQUID-LIPSTICK/New/index.tmpl,http://www.smashbox.com/media/images/products/340x527/SB_C2NP_SKUC2NP14_340.jpg
True Grit,Smashbox,Lipstick,83,37,13,$24.00,http://www.smashbox.com/product/6126/42295/Lips/Lipstick/ALWAYS-ON-LIQUID-LIPSTICK/New/index.tmpl,http://www.smashbox.com/media/images/products/340x527/SB_C2NP_SKUC2NP06_340.jpg
In Demand,Smashbox,Lipstick,183,111,96,$24.00,http://www.smashbox.com/product/6126/42295/Lips/Lipstick/ALWAYS-ON-LIQUID-LIPSTICK/New/index.tmpl,http://www.smashbox.com/media/images/products/340x527/SB_C2NP_SKUC2NP04_340.jpg
Stepping Out,Smashbox,Lipstick,158,92,76,$24.00,http://www.smashbox.com/product/6126/42295/Lips/Lipstick/ALWAYS-ON-LIQUID-LIPSTICK/New/index.tmpl,http://www.smashbox.com/media/images/products/340x527/SB_C2NP_SKUC2NP05_340.jpg
Babe Alert,Smashbox,Lipstick,173,88,81,$24.00,http://www.smashbox.com/product/6126/42295/Lips/Lipstick/ALWAYS-ON-LIQUID-LIPSTICK/New/index.tmpl,http://www.smashbox.com/media/images/products/340x527/SB_C2NP_SKUC2NP10_340.jpg
Dream Huge,Smashbox,Lipstick,175,85,97,$24.00,http://www.smashbox.com/product/6126/42295/Lips/Lipstick/ALWAYS-ON-LIQUID-LIPSTICK/New/index.tmpl,http://www.smashbox.com/media/images/products/340x527/SB_C2NP_SKUC2NP11_340.jpg
Baja Bound,Smashbox,Lipstick,200,75,71,$24.00,http://www.smashbox.com/product/6126/42295/Lips/Lipstick/ALWAYS-ON-LIQUID-LIPSTICK/New/index.tmpl,http://www.smashbox.com/media/images/products/340x527/SB_C2NP_SKUC2NP12_340.jpg
Driver's Seat,Smashbox,Lipstick,156,64,53,$24.00,http://www.smashbox.com/product/6126/42295/Lips/Lipstick/ALWAYS-ON-LIQUID-LIPSTICK/New/index.tmpl,http://www.smashbox.com/media/images/products/340x527/SB_C2NP_SKUC2NP15_340.jpg
Big Spender,Smashbox,Lipstick,147,60,68,$24.00,http://www.smashbox.com/product/6126/42295/Lips/Lipstick/ALWAYS-ON-LIQUID-LIPSTICK/New/index.tmpl,http://www.smashbox.com/media/images/products/340x527/SB_C2NP_SKUC2NP09_340.jpg
Disorderly,Smashbox,Lipstick,127,25,23,$24.00,http://www.smashbox.com/product/6126/42295/Lips/Lipstick/ALWAYS-ON-LIQUID-LIPSTICK/New/index.tmpl,http://www.smashbox.com/media/images/products/340x527/SB_C2NP_SKUC2NP13_340.jpg
Miss Conduct,Smashbox,Lipstick,100,7,25,$24.00,http://www.smashbox.com/product/6126/42295/Lips/Lipstick/ALWAYS-ON-LIQUID-LIPSTICK/New/index.tmpl,http://www.smashbox.com/media/images/products/340x527/SB_C2NP_SKUC2NP20_340.jpg
